goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-4    	   92391	     12469 ns/op	      3276 gas/op	       262.7 mgas/s	    1960 B/op	      24 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-4    	   94323	     12453 ns/op	      3276 gas/op	       263.1 mgas/s	    1960 B/op	      24 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-4    	   92680	     12507 ns/op	      3276 gas/op	       261.9 mgas/s	    1960 B/op	      24 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-4    	   93327	     12489 ns/op	      3276 gas/op	       262.3 mgas/s	    1960 B/op	      24 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-4    	   94999	     12626 ns/op	      3276 gas/op	       259.4 mgas/s	    1960 B/op	      24 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-4    	   95732	     12409 ns/op	      3276 gas/op	       264.0 mgas/s	    1960 B/op	      24 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-4         	  342073	      3547 ns/op	       665.0 gas/op	       187.4 mgas/s	    1848 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-4         	  325332	      3540 ns/op	       665.0 gas/op	       187.8 mgas/s	    1848 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-4         	  355766	      3607 ns/op	       665.0 gas/op	       184.4 mgas/s	    1848 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-4         	  314732	      3540 ns/op	       665.0 gas/op	       187.8 mgas/s	    1848 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-4         	  303687	      3617 ns/op	       665.0 gas/op	       183.9 mgas/s	    1848 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-4         	  300242	      3520 ns/op	       665.0 gas/op	       188.9 mgas/s	    1848 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-4         	  318303	      3598 ns/op	       665.0 gas/op	       184.8 mgas/s	    1848 B/op	      25 allocs/op
